target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,IS,2026-04-19,2,quantile,0.6,14.8176451376965,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.6,9.555534805555306,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.6,7.294511460833856,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.65,19.558443092720015,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.65,16.00475595612513,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.65,10.747380286519258,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.65,8.5802161065946,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.7,20.867013352891863,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.7,17.171838375648882,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.7,11.879529496696144,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.7,9.801175441359089,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.75,21.94028165427299,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.75,18.534331175274925,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.75,13.438563580974414,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.75,11.322509309911583,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.8,23.524232397958926,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.8,19.830569130252822,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.8,14.762645684351217,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.8,12.476679666987433,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.85,24.91775935152099,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.85,21.927122224656777,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.85,16.165713756234755,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.85,14.09020668103474,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.9,26.75713296467114,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.9,24.166504914979615,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.9,18.600014619230077,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.9,16.27540919137466,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.95,29.340903629725023,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.95,27.70677624200821,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.95,21.384208596619228,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.95,19.401659079501982,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.975,32.234731825912924,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.975,29.950705058237492,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.975,23.245085212273622,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.975,22.652148717389863,2026-04-15
ILI incidence,IS,2026-04-12,1,quantile,0.99,34.72872311290569,2026-04-15
ILI incidence,IS,2026-04-19,2,quantile,0.99,32.20923341193819,2026-04-15
ILI incidence,IS,2026-04-26,3,quantile,0.99,26.404111755211947,2026-04-15
ILI incidence,IS,2026-05-03,4,quantile,0.99,27.55626360856335,2026-04-15
ILI incidence,IS,2026-04-12,1,median,,15.954814810487463,2026-04-15
ILI incidence,IS,2026-04-19,2,median,,12.546076262169253,2026-04-15
ILI incidence,IS,2026-04-26,3,median,,7.402289304690717,2026-04-15
ILI incidence,IS,2026-05-03,4,median,,5.161326074092931,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.01,0.0,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.01,0.0,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.01,0.0,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.01,0.0,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.025,0.0,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.025,0.0,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.025,0.0,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.025,0.0,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.05,0.0,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.05,0.0,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.05,0.0,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.05,0.0,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.1,0.0,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.1,0.0,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.1,0.0,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.1,0.0,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.15,0.0,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.15,0.0,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.15,0.0,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.15,0.0,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.2,0.0,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.2,0.0,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.2,0.0,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.2,0.0,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.25,0.34512390524838565,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.25,0.0,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.25,0.0,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.25,0.0,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.3,2.034529987264496,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.3,1.420378943781124,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.3,0.39476782547439127,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.3,0.43398532769696185,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.35,3.9069584683518284,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.35,2.960643951519284,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.35,1.8299093315886925,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.35,1.761676564451115,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.4,5.394853389474955,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.4,4.468985538810962,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.4,3.2398645550423213,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.4,3.2606655409869143,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.45,6.746690695953294,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.45,5.888934884478671,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.45,5.023974031537596,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.45,4.7366809939158525,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.5,8.14867276670441,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.5,7.106222537523545,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.5,6.472104741592853,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.5,6.052749985324528,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.55,9.599509361367144,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.55,8.552899300063347,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.55,8.012853669080393,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.55,7.330626390107924,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.6,10.646350963549564,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.6,9.88717641183999,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.6,9.281486700404384,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.6,8.643802317069804,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.65,12.472305019436593,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.65,11.48848164287433,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.65,10.936759486646697,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.65,10.44357070250247,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.7,14.469810659787303,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.7,12.50814734769612,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.7,12.972028521702404,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.7,12.03136297169562,2026-04-15
ILI incidence,IE,2026-04-12,1,quantile,0.75,16.128050161034736,2026-04-15
ILI incidence,IE,2026-04-19,2,quantile,0.75,14.12124623886956,2026-04-15
ILI incidence,IE,2026-04-26,3,quantile,0.75,15.014005496796361,2026-04-15
ILI incidence,IE,2026-05-03,4,quantile,0.75,13.724378030293813,2026-04-15
