target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,IS,2026-04-19,1,quantile,0.65,2.3925636037157836,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.65,1.2671718174267406,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.65,2.0101304120289636,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.65,2.425681497960709,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.7,2.4501168864897647,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.7,1.3205860084519427,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.7,2.0451859572958986,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.7,2.4976702305314213,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.75,2.4888817054976053,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.75,1.381223377688212,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.75,2.112991563153844,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.75,2.5565286483518537,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.8,2.537185855574973,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.8,1.4333291055787318,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.8,2.165555314181588,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.8,2.577165378643887,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.85,2.5785418440701275,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.85,1.5825448214212312,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.85,2.207305392454691,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.85,2.6070469689272753,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.9,2.6294864401748246,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.9,1.639814027253116,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.9,2.2482938701881334,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.9,2.646060022734084,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.95,2.706261769673052,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.95,1.7348772634817813,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.95,2.2677490059844647,2026-04-22
