target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,IS,2026-04-26,2,quantile,0.35,1.1967707974408914,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.35,2.238756425382957,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.35,3.5650608730247635,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.4,3.4340055502103515,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.4,1.2339214819980593,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.4,2.2960591700883346,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.4,3.655525161515348,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.45,3.5038164031038375,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.45,1.2940816026723043,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.45,2.3398402303326615,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.45,3.783992234010234,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.5,3.557200507685109,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.5,1.3381833734395183,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.5,2.3703841270273447,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.5,3.9764089585641225,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.55,3.572614932425055,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.55,1.3896073243673113,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.55,2.395856958733877,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.55,4.056292678290464,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.6,3.5850878557431356,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.6,1.4369137909577705,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.6,2.4468193057419834,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.6,4.126769756916221,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.65,3.60417775363828,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.65,1.5336143115332233,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.65,2.536181059677857,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.65,4.189698269364555,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.7,3.6728996282278823,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.7,1.6946535007098045,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.7,2.6537115791297823,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.7,4.301284526236728,2026-04-22
ILI incidence,IS,2026-04-19,1,quantile,0.75,3.7690498111840958,2026-04-22
ILI incidence,IS,2026-04-26,2,quantile,0.75,1.7996749015283184,2026-04-22
ILI incidence,IS,2026-05-03,3,quantile,0.75,2.7490478421567675,2026-04-22
ILI incidence,IS,2026-05-10,4,quantile,0.75,4.391430029459336,2026-04-22
