target,location,origin_date,target_end_date,output_type_id,horizon,output_type,value
ILI incidence,BE,2026-04-08,2026-04-05,0.01,1,quantile,0
ILI incidence,BE,2026-04-08,2026-04-05,0.025,1,quantile,0
ILI incidence,BE,2026-04-08,2026-04-05,0.05,1,quantile,2.53106416699324
ILI incidence,BE,2026-04-08,2026-04-05,0.1,1,quantile,10.0109975385425
ILI incidence,BE,2026-04-08,2026-04-05,0.15,1,quantile,18.2606018211695
ILI incidence,BE,2026-04-08,2026-04-05,0.2,1,quantile,25.3465672041725
ILI incidence,BE,2026-04-08,2026-04-05,0.25,1,quantile,31.5393140503634
ILI incidence,BE,2026-04-08,2026-04-05,0.3,1,quantile,37.0993295885469
ILI incidence,BE,2026-04-08,2026-04-05,0.35,1,quantile,43.3243035721791
ILI incidence,BE,2026-04-08,2026-04-05,0.4,1,quantile,49.1207144133979
ILI incidence,BE,2026-04-08,2026-04-05,0.45,1,quantile,55.5392333399018
ILI incidence,BE,2026-04-08,2026-04-05,0.5,1,quantile,63.5499134638537
ILI incidence,BE,2026-04-08,2026-04-05,0.55,1,quantile,70.2184348510127
ILI incidence,BE,2026-04-08,2026-04-05,0.6,1,quantile,76.3447619736449
ILI incidence,BE,2026-04-08,2026-04-05,0.65,1,quantile,85.686734949132
ILI incidence,BE,2026-04-08,2026-04-05,0.7,1,quantile,94.2377754606054
ILI incidence,BE,2026-04-08,2026-04-05,0.75,1,quantile,104.078783036355
ILI incidence,BE,2026-04-08,2026-04-05,0.8,1,quantile,118.446278347688
ILI incidence,BE,2026-04-08,2026-04-05,0.85,1,quantile,135.268150804884
ILI incidence,BE,2026-04-08,2026-04-05,0.9,1,quantile,154.930898065508
ILI incidence,BE,2026-04-08,2026-04-05,0.95,1,quantile,188.102149679726
ILI incidence,BE,2026-04-08,2026-04-05,0.975,1,quantile,237.179107239111
ILI incidence,BE,2026-04-08,2026-04-05,0.99,1,quantile,283.023738119936
ILI incidence,BE,2026-04-08,2026-04-12,0.01,2,quantile,0
ILI incidence,BE,2026-04-08,2026-04-12,0.025,2,quantile,0
ILI incidence,BE,2026-04-08,2026-04-12,0.05,2,quantile,0
ILI incidence,BE,2026-04-08,2026-04-12,0.1,2,quantile,7.22360331843225
ILI incidence,BE,2026-04-08,2026-04-12,0.15,2,quantile,14.5644747914139
ILI incidence,BE,2026-04-08,2026-04-12,0.2,2,quantile,21.7613323743828
ILI incidence,BE,2026-04-08,2026-04-12,0.25,2,quantile,28.6059675753331
ILI incidence,BE,2026-04-08,2026-04-12,0.3,2,quantile,34.5997472794646
ILI incidence,BE,2026-04-08,2026-04-12,0.35,2,quantile,40.4809174709228
ILI incidence,BE,2026-04-08,2026-04-12,0.4,2,quantile,47.1914060468614
ILI incidence,BE,2026-04-08,2026-04-12,0.45,2,quantile,55.0985415481556
ILI incidence,BE,2026-04-08,2026-04-12,0.5,2,quantile,62.1827085233992
ILI incidence,BE,2026-04-08,2026-04-12,0.55,2,quantile,71.64568437462
ILI incidence,BE,2026-04-08,2026-04-12,0.6,2,quantile,79.2341697489481
ILI incidence,BE,2026-04-08,2026-04-12,0.65,2,quantile,91.3403738371349
ILI incidence,BE,2026-04-08,2026-04-12,0.7,2,quantile,103.880918146224
ILI incidence,BE,2026-04-08,2026-04-12,0.75,2,quantile,116.902250666846
ILI incidence,BE,2026-04-08,2026-04-12,0.8,2,quantile,138.512721630661
ILI incidence,BE,2026-04-08,2026-04-12,0.85,2,quantile,161.958256497578
ILI incidence,BE,2026-04-08,2026-04-12,0.9,2,quantile,201.916957487309
ILI incidence,BE,2026-04-08,2026-04-12,0.95,2,quantile,255.721379829413
ILI incidence,BE,2026-04-08,2026-04-12,0.975,2,quantile,342.592090389829
ILI incidence,BE,2026-04-08,2026-04-12,0.99,2,quantile,416.502644113736
ILI incidence,BE,2026-04-08,2026-04-19,0.01,3,quantile,0
ILI incidence,BE,2026-04-08,2026-04-19,0.025,3,quantile,0
ILI incidence,BE,2026-04-08,2026-04-19,0.05,3,quantile,0
ILI incidence,BE,2026-04-08,2026-04-19,0.1,3,quantile,1.55464794765946
ILI incidence,BE,2026-04-08,2026-04-19,0.15,3,quantile,9.35331430798011
ILI incidence,BE,2026-04-08,2026-04-19,0.2,3,quantile,16.4859431462088
ILI incidence,BE,2026-04-08,2026-04-19,0.25,3,quantile,23.7298808202346
ILI incidence,BE,2026-04-08,2026-04-19,0.3,3,quantile,30.3976279355824
ILI incidence,BE,2026-04-08,2026-04-19,0.35,3,quantile,37.6601905780277
ILI incidence,BE,2026-04-08,2026-04-19,0.4,3,quantile,45.9735698268424
ILI incidence,BE,2026-04-08,2026-04-19,0.45,3,quantile,52.059458223488
ILI incidence,BE,2026-04-08,2026-04-19,0.5,3,quantile,62.2206828532345
ILI incidence,BE,2026-04-08,2026-04-19,0.55,3,quantile,71.9558956851926
ILI incidence,BE,2026-04-08,2026-04-19,0.6,3,quantile,84.3953435557352
ILI incidence,BE,2026-04-08,2026-04-19,0.65,3,quantile,95.8804753411627
