"origin_date","horizon","target_end_date","output_type_id","value","output_type","target","location"
2026-04-08,1,2026-04-05,0.05,136,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.1,139.9,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.15,143.85,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.2,145.8,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.25,147,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.3,149.7,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.35,152,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.4,153,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.45,154,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.5,156,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.55,157.45,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.6,159,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.65,160.35,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.7,162,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.75,165,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.8,168,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.85,169.15,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.9,171,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.95,177,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.975,179.525,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.99,182.05,"quantile","ILI incidence","FR"
2026-04-08,1,2026-04-05,0.01,607.95,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.025,619.85,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.05,626.85,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.1,636.9,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.15,640.55,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.2,645.8,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.25,647.75,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.3,651.7,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.35,656,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.4,661.6,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.45,666.1,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.5,670.5,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.55,673.45,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.6,675.4,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.65,681,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.7,684.3,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.75,686.25,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.8,689,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.85,692,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.9,698.2,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.95,705.2,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.975,710,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.99,722.07,"quantile","ILI incidence","GR"
2026-04-08,1,2026-04-05,0.01,299.97,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.025,302.475,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.05,305.95,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.1,310.9,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.15,316.85,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.2,320.8,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.25,324,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.3,327,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.35,330,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.4,331.6,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.45,332.55,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.5,335.5,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.55,337.45,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.6,339,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.65,341,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.7,343,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.75,345,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.8,346,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.85,348,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.9,350.2,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.95,357,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.975,363.775,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.99,371.2,"quantile","ILI incidence","HU"
2026-04-08,1,2026-04-05,0.01,0,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.025,0,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.05,0,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.1,1,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.15,1,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.2,1,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.25,1,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.3,2,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.35,2,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.4,2,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.45,2,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.5,3,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.55,3,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.6,3,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.65,3,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.7,4,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.75,4,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.8,4,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.85,4,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.9,5,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.95,5.05,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.975,6,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.99,6.02000000000001,"quantile","ILI incidence","IE"
2026-04-08,1,2026-04-05,0.01,277.97,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.025,279.95,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.05,281.95,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.1,289.6,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.15,292.7,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.2,295.8,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.25,300,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.3,303.4,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.35,307.65,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.4,310.2,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.45,313.55,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.5,316,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.55,318,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.6,320.4,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.65,323.05,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.7,328,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.75,331.25,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.8,334,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.85,338.3,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.9,343.1,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.95,349.25,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.975,355.05,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.99,357.02,"quantile","ILI incidence","IT"
2026-04-08,1,2026-04-05,0.01,100.99,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.025,103,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.05,105,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.1,110.8,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.15,114,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.2,115,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.25,118,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.3,119.7,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.35,121.65,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.4,123,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.45,124.55,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.5,126,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.55,128,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.6,129.4,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.65,131.35,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.7,132,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.75,133.25,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.8,135.4,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.85,138,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.9,140,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.95,146,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.975,148.525,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.99,150.03,"quantile","ILI incidence","LV"
2026-04-08,1,2026-04-05,0.01,36.96,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.025,37.475,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.05,40,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.1,42.9,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.15,44,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.2,45,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.25,46,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.3,47.7,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.35,48,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.4,49,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.45,50,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.5,51,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.55,51,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.6,52,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.65,53,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.7,54,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.75,55,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.8,57,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.85,58,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.9,61,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.95,64,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.975,66.525,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.99,70.02,"quantile","ILI incidence","LT"
2026-04-08,1,2026-04-05,0.01,3208.87,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.025,3233.875,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.05,3273.9,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.1,3291.7,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.15,3301.85,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.2,3309.8,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.25,3315,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.3,3329.7,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.35,3332.65,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.4,3338.6,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.45,3347.55,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.5,3357,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.55,3363.45,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.6,3374.6,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.65,3380.05,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.7,3387.3,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.75,3402.5,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.8,3417,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.85,3426.45,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.9,3435.4,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.95,3454.2,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.975,3468.775,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.99,3480.15,"quantile","ILI incidence","LU"
2026-04-08,1,2026-04-05,0.01,4583.89,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.025,4601.95,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.05,4619.95,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.1,4634.9,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.15,4651.85,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.2,4667.6,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.25,4673.75,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.3,4682.8,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.35,4699.65,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.4,4705,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.45,4711.65,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.5,4726.5,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.55,4738.35,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.6,4749,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.65,4752.35,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.7,4768.6,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.75,4777.75,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.8,4796.2,"quantile","ILI incidence","MT"
2026-04-08,1,2026-04-05,0.85,4813.05,"quantile","ILI incidence","MT"
